Model,Sampling Method,Status,Accuracy,Precision,Recall,F1 Score,ROC AUC,Weighted Score
LogisticRegression,under,optimized model,0.6061320754716981,0.22597402597402597,0.7073170731707317,0.3425196850393701,0.7077880571909168,0.5338919660925191
XGBClassifier,under,optimized model,0.15566037735849056,0.14575866188769415,0.991869918699187,0.25416666666666665,0.672654892066162,0.5330634577086584
SVC,under,optimized model,0.5860849056603774,0.21782178217821782,0.7154471544715447,0.33396584440227706,0.6848331931595179,0.5263740039667067
LogisticRegression,over,optimized model,0.6580188679245284,0.24307692307692308,0.6422764227642277,0.35267857142857145,0.7134622932436221,0.5258084535891269
LogisticRegression,smote,base model,0.6568396226415094,0.2391304347826087,0.6260162601626016,0.34606741573033706,0.7050406504065041,0.5168833895442078
LogisticRegression,smote,optimized model,0.6497641509433962,0.2347560975609756,0.6260162601626016,0.34146341463414637,0.7106139613120269,0.5154833536982084
LogisticRegression,over,base model,0.6533018867924528,0.23529411764705882,0.6178861788617886,0.34080717488789236,0.7077095598542192,0.5127338656776577
LogisticRegression,under,base model,0.6403301886792453,0.22916666666666666,0.6260162601626016,0.3355119825708061,0.6995009812167087,0.5099910888027482
MLPClassifier,under,base model,0.6650943396226415,0.23778501628664495,0.5934959349593496,0.3395348837209302,0.6739444911690496,0.4998985860571083
SVC,under,base model,0.6650943396226415,0.23432343234323433,0.5772357723577236,0.3333333333333333,0.6810877488085225,0.4943795636161042
DecisionTreeClassifier,train,optimized model,0.6143867924528302,0.21666666666666667,0.6341463414634146,0.32298136645962733,0.6359966358284272,0.4921272504648997
DecisionTreeClassifier,under,optimized model,0.6167452830188679,0.21468926553672316,0.6178861788617886,0.31865828092243187,0.6513484721054107,0.489178036442622
MLPClassifier,under,optimized model,0.6615566037735849,0.22847682119205298,0.5609756097560976,0.3247058823529412,0.6878160919540232,0.4874595554620356
DecisionTreeClassifier,over,optimized model,0.6898584905660378,0.24820143884892087,0.5609756097560976,0.34413965087281795,0.6330641996075134,0.48715650045047837
RandomForestClassifier,under,optimized model,0.6344339622641509,0.21580547112462006,0.5772357723577236,0.3141592920353982,0.6911466218110457,0.4857540959734839
RandomForestClassifier,under,base model,0.6332547169811321,0.21686746987951808,0.5853658536585366,0.31648351648351647,0.6748135688253434,0.4855489411635497
XGBClassifier,train,optimized model,0.6155660377358491,0.21082621082621084,0.6016260162601627,0.31223628691983124,0.6678777684328567,0.48530296569209447
XGBClassifier,under,base model,0.6073113207547169,0.2050561797752809,0.5934959349593496,0.3048016701461378,0.647973086627418,0.4753333743915868
KNeighborsClassifier,under,optimized model,0.6745283018867925,0.22968197879858657,0.5284552845528455,0.32019704433497537,0.6633978132884777,0.47317053611576027
SVC,over,base model,0.6898584905660378,0.23282442748091603,0.4959349593495935,0.3168831168831169,0.6625399495374263,0.4644187701118837
KNeighborsClassifier,over,optimized model,0.6650943396226415,0.21951219512195122,0.5121951219512195,0.3073170731707317,0.6213120269133726,0.45418647349128016
KNeighborsClassifier,under,base model,0.6391509433962265,0.2,0.4959349593495935,0.2850467289719626,0.6190243902439024,0.4377621424362718
DecisionTreeClassifier,smote,optimized model,0.6757075471698113,0.21428571428571427,0.4634146341463415,0.2930591259640103,0.6049453322119428,0.43299185003713186
GaussianNB,smote,optimized model,0.8148584905660378,0.3333333333333333,0.2764227642276423,0.3022222222222222,0.7030950378469302,0.43058724144983807
GaussianNB,smote,base model,0.8148584905660378,0.3333333333333333,0.2764227642276423,0.3022222222222222,0.7030950378469302,0.43058724144983807
GaussianNB,under,base model,0.8231132075471698,0.3516483516483517,0.2601626016260163,0.29906542056074764,0.7060835435940567,0.42909041784877283
KNeighborsClassifier,smote,optimized model,0.6662735849056604,0.20588235294117646,0.45528455284552843,0.28354430379746837,0.599484160358845,0.42487798530653714
GaussianNB,under,optimized model,0.8219339622641509,0.34444444444444444,0.25203252032520324,0.29107981220657275,0.7058929072049343,0.4234183534832727
GaussianNB,over,optimized model,0.8113207547169812,0.31683168316831684,0.2601626016260163,0.2857142857142857,0.7084104289318756,0.4198162656496971
GaussianNB,over,base model,0.8113207547169812,0.31683168316831684,0.2601626016260163,0.2857142857142857,0.7084104289318756,0.4198162656496971
KNeighborsClassifier,smote,base model,0.6580188679245284,0.19636363636363635,0.43902439024390244,0.271356783919598,0.5994505186431175,0.4146930490286921
SVC,smote,base model,0.6721698113207547,0.19607843137254902,0.4065040650406504,0.26455026455026454,0.6196131202691337,0.4086401555415458
KNeighborsClassifier,over,base model,0.6768867924528302,0.199203187250996,0.4065040650406504,0.26737967914438504,0.5903055789178582,0.40442641241479543
MLPClassifier,smote,base model,0.7547169811320755,0.24550898203592814,0.3333333333333333,0.2827586206896552,0.6043285674236052,0.4038534140757316
DecisionTreeClassifier,under,base model,0.5459905660377359,0.16062176165803108,0.5040650406504065,0.24361493123772102,0.5285842444631342,0.3965324147496573
MLPClassifier,over,base model,0.7358490566037735,0.21468926553672316,0.3089430894308943,0.25333333333333335,0.6088141295206054,0.3835673815576085
RandomForestClassifier,over,optimized model,0.8207547169811321,0.3116883116883117,0.1951219512195122,0.24,0.655789178581441,0.3785231395335018
XGBClassifier,smote,optimized model,0.7429245283018868,0.21893491124260356,0.3008130081300813,0.2534246575342466,0.5877544154751893,0.3782836394342031
LogisticRegression,train,base model,0.8584905660377359,0.5882352941176471,0.08130081300813008,0.14285714285714285,0.7101990468180542,0.37622868970175627
GaussianNB,train,optimized model,0.8337264150943396,0.3392857142857143,0.15447154471544716,0.2122905027932961,0.7098682366134006,0.37565323508792936
GaussianNB,train,base model,0.8337264150943396,0.3392857142857143,0.15447154471544716,0.2122905027932961,0.7098682366134006,0.37565323508792936
RandomForestClassifier,smote,optimized model,0.7806603773584906,0.2396694214876033,0.23577235772357724,0.23770491803278687,0.6563386599383235,0.3754421197719242
MLPClassifier,train,optimized model,0.8089622641509434,0.2903225806451613,0.21951219512195122,0.25,0.6004485562097002,0.37288798329039397
RandomForestClassifier,over,base model,0.8490566037735849,0.43243243243243246,0.13008130081300814,0.2,0.6663302495093917,0.37206096538800415
XGBClassifier,over,base model,0.7948113207547169,0.2524271844660194,0.21138211382113822,0.23008849557522124,0.6194561255957387,0.36217319290466915
MLPClassifier,smote,optimized model,0.7877358490566038,0.24324324324324326,0.21951219512195122,0.23076923076923078,0.6107541351275582,0.3609568646465516
RandomForestClassifier,train,base model,0.8573113207547169,0.5625,0.07317073170731707,0.12949640287769784,0.6708326324642557,0.3585979787999424
MLPClassifier,over,optimized model,0.7959905660377359,0.25,0.2032520325203252,0.2242152466367713,0.6061788617886179,0.35536425037678754
RandomForestClassifier,smote,base model,0.8089622641509434,0.25925925925925924,0.17073170731707318,0.20588235294117646,0.6562769834594897,0.3537306124262973
DecisionTreeClassifier,smote,base model,0.7158018867924528,0.18947368421052632,0.2926829268292683,0.23003194888178913,0.5401345668629101,0.353341019952634
SVC,train,optimized model,0.6839622641509434,0.17194570135746606,0.3089430894308943,0.22093023255813954,0.543515559293524,0.35080667844622226
SVC,smote,optimized model,0.5801886792452831,0.1458966565349544,0.3902439024390244,0.21238938053097345,0.5016708718811327,0.3504080566454487
DecisionTreeClassifier,over,base model,0.7735849056603774,0.21951219512195122,0.21951219512195122,0.21951219512195122,0.5435492010092515,0.33972686735325386
XGBClassifier,over,optimized model,0.8018867924528302,0.24719101123595505,0.17886178861788618,0.20754716981132076,0.5542360527053546,0.3336598705099433
RandomForestClassifier,train,optimized model,0.8549528301886793,0.5,0.04878048780487805,0.08888888888888889,0.6622652088589851,0.32980469335435064
MLPClassifier,train,base model,0.8419811320754716,0.3225806451612903,0.08130081300813008,0.12987012987012986,0.6658368376787217,0.32261035388745657
LogisticRegression,train,optimized model,0.8549528301886793,0.5,0.024390243902439025,0.046511627906976744,0.713170731707317,0.32207440950780725
DecisionTreeClassifier,train,base model,0.75,0.17518248175182483,0.1951219512195122,0.18461538461538463,0.5196299411269975,0.30989379200787304
XGBClassifier,smote,base model,0.8148584905660378,0.20689655172413793,0.0975609756097561,0.13259668508287292,0.64201850294365,0.30334149635759955
XGBClassifier,train,base model,0.8325471698113207,0.2564102564102564,0.08130081300813008,0.12345679012345678,0.6076478833753854,0.2985002735510508
SVC,over,optimized model,0.8172169811320755,0.18,0.07317073170731707,0.10404624277456648,0.6356938603868797,0.28382325039642026
KNeighborsClassifier,train,base model,0.8266509433962265,0.18421052631578946,0.056910569105691054,0.08695652173913043,0.5853097841323242,0.26617093127994584
KNeighborsClassifier,train,optimized model,0.8266509433962265,0.18421052631578946,0.056910569105691054,0.08695652173913043,0.5853097841323242,0.26617093127994584
SVC,train,base model,0.8525943396226415,0.0,0.0,0.0,0.6008858985141576,0.2054366136650957
